id,run_id,observed_at_utc,seed_keyword,query_keyword,signal_type,locale_gl,language_hl,login_state,browser_profile,device_class,rank_position,raw_text,source_url,collector_version,notes
3257,2686dde9-18af-48dd-ac18-5401fc2d1c35,2026-04-02T04:19:47.460143+00:00,korea esim with phone number,korea esim with phone number a,autocomplete,us,en,logged_out,default_desktop,desktop,2,korean esim and phone number,https://suggestqueries.google.com/complete/search?client=firefox&q=korea+esim+with+phone+number+a&hl=en&gl=us,0.1.0,letter:a|requests-suggest-endpoint-fallback
3260,2686dde9-18af-48dd-ac18-5401fc2d1c35,2026-04-02T04:20:22.383072+00:00,korea esim with phone number,korea esim with phone number f,autocomplete,us,en,logged_out,default_desktop,desktop,2,best esim with phone number for south korea,https://suggestqueries.google.com/complete/search?client=firefox&q=korea+esim+with+phone+number+f&hl=en&gl=us,0.1.0,letter:f|requests-suggest-endpoint-fallback
3261,2686dde9-18af-48dd-ac18-5401fc2d1c35,2026-04-02T04:20:22.383072+00:00,korea esim with phone number,korea esim with phone number f,autocomplete,us,en,logged_out,default_desktop,desktop,3,best esim for korea with phone number,https://suggestqueries.google.com/complete/search?client=firefox&q=korea+esim+with+phone+number+f&hl=en&gl=us,0.1.0,letter:f|requests-suggest-endpoint-fallback
3262,2686dde9-18af-48dd-ac18-5401fc2d1c35,2026-04-02T04:20:22.383072+00:00,korea esim with phone number,korea esim with phone number f,autocomplete,us,en,logged_out,default_desktop,desktop,4,esim for south korea with phone number,https://suggestqueries.google.com/complete/search?client=firefox&q=korea+esim+with+phone+number+f&hl=en&gl=us,0.1.0,letter:f|requests-suggest-endpoint-fallback
3243,2686dde9-18af-48dd-ac18-5401fc2d1c35,2026-04-02T04:18:47.892699+00:00,korea esim with phone number,korea esim with phone number,autocomplete,us,en,logged_out,default_desktop,desktop,7,buy korea esim with phone number,https://suggestqueries.google.com/complete/search?client=firefox&q=korea+esim+with+phone+number&hl=en&gl=us,0.1.0,seed|requests-suggest-endpoint-fallback
3244,2686dde9-18af-48dd-ac18-5401fc2d1c35,2026-04-02T04:18:47.892699+00:00,korea esim with phone number,korea esim with phone number,autocomplete,us,en,logged_out,default_desktop,desktop,8,korea esim with korean phone number,https://suggestqueries.google.com/complete/search?client=firefox&q=korea+esim+with+phone+number&hl=en&gl=us,0.1.0,seed|requests-suggest-endpoint-fallback
